match_id,half,time,scorer,assister,is_og,is_goal_highlight,is_assist_highlight
2026-03-12#1,1H,00:30,Amin,Gio,,,
2026-03-12#1,1H,04:42,Amin,Lachlan,,,
2026-03-12#1,1H,06:06,Gio,,,,
2026-03-12#1,1H,07:00,Gio,,,,
2026-03-12#1,1H,08:00,Gio,Lachlan,,,
2026-03-12#1,1H,10:05,Amin,Alberto,,,
2026-03-12#1,1H,13:00,Gio,,,,
2026-03-12#1,1H,17:03,Xavier,James,,,
2026-03-12#1,1H,17:50,Amin,Lachlan,,,
2026-03-12#1,1H,21:54,Jake,Austin,,,
2026-03-12#1,1H,23:03,Amin,Lachlan,,,
2026-03-12#1,1H,23:58,Lachlan,,,,
2026-03-12#1,1H,24:40,Austin,,,,
2026-03-12#1,1H,25:05,Austin,,,,
2026-03-12#1,1H,25:28,Jake,,,,
2026-03-12#1,1H,26:50,Austin,Bailey,,,
2026-03-12#1,2H,32:02,James,,,,
2026-03-12#1,2H,32:46,James,Bailey,,,
2026-03-12#1,2H,36:13,Xavier,James,,,
2026-03-12#1,2H,38:30,Lachlan,Gio,,,
2026-03-12#1,2H,42:00,Austin,Xavier,,,
2026-03-12#1,2H,43:20,Jake,James,,,
2026-03-12#1,2H,44:50,James,Bailey,,,
2026-03-12#1,2H,45:35,Amin,Lachlan,,,
2026-03-12#1,2H,45:54,Richard,Gio,,,
2026-03-12#1,2H,50:15,Amin,Lachlan,,,
2026-03-12#1,2H,53:55,Lachlan,Amin,,,
2026-03-12#1,2H,54:32,Bailey,Austin,,,
2026-03-19#1,1H,00:59,Richard,Bailey,,,
2026-03-19#1,1H,04:42,Amin,Gio,,,
2026-03-19#1,1H,05:33,Austin,,,,
2026-03-19#1,1H,07:14,Lachlan,Gio,,,
2026-03-19#1,1H,08:24,Austin,Gio,,,
2026-03-19#1,1H,08:54,James,,,,
2026-03-19#1,1H,11:06,Lachlan,Gio,,,
2026-03-19#1,1H,11:30,James,Xavier,,,
2026-03-19#1,1H,12:49,Bailey,Xavier,,,
2026-03-19#1,1H,13:55,Richard,Xavier,,,
2026-03-19#1,1H,15:21,James,Bailey,,,
2026-03-19#1,1H,16:20,Bailey,James,,,
2026-03-19#1,1H,19:09,Amin,Gio,,,
2026-03-19#1,1H,20:50,James,Bailey,,,
2026-03-19#1,1H,21:36,Bailey,,,,
2026-03-19#1,2H,27:44,Lachlan,,,,
2026-03-19#1,2H,28:43,Bailey,Richard,,,
2026-03-19#1,2H,31:24,Amin,Austin,,,
2026-03-19#1,2H,32:09,Bailey,Xavier,,,
2026-03-19#1,2H,34:29,Amin,Gio,,,
2026-03-19#1,2H,37:07,Amin,Lachlan,,,
2026-03-19#1,2H,37:43,James,Bailey,,,
2026-03-19#1,2H,39:10,Amin,Lachlan,,,
2026-03-19#1,2H,40:00,Gio,,,,
2026-03-19#1,2H,40:55,Amin,Gio,,,
2026-03-19#1,2H,44:25,Lachlan,,,,
2026-03-19#1,2H,47:22,Xavier,James,,,
2026-03-19#1,2H,47:44,Xavier,Bailey,,,
2026-03-19#1,2H,49:28,Amin,Gio,,,
2026-03-19#1,2H,49:58,Bailey,Richard,,,
2026-03-19#1,2H,51:42,Bailey,,,,
2026-03-26#1,1H,00:15,Lachlan,Richard,,,
2026-03-26#1,1H,01:42,James,,,,
2026-03-26#1,1H,05:11,Lachlan,,,,
2026-03-26#1,1H,07:46,Austin,Lachlan,,,
2026-03-26#1,1H,08:26,Andres,Rich,,,
2026-03-26#1,1H,09:40,Amin,Gio,,,
2026-03-26#1,1H,10:28,Gio,,,,
2026-03-26#1,1H,10:50,Andres,Xavier,,,
2026-03-26#1,1H,15:03,Gio,,,,
2026-03-26#1,1H,19:23,Xavier,Austin,,,
2026-03-26#1,1H,21:30,Jake,Gio,,,
2026-03-26#1,1H,25:30,Andres,,,,
2026-03-26#1,2H,26:00,James,,,,
2026-03-26#1,2H,27:05,Richard,Austin,,,
2026-03-26#1,2H,34:20,Andres,,,,
2026-03-26#1,2H,35:57,Lachlan,Richard,,,
